id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
87335,146747,37492,2015-10-16 00:00:00,66,66,right,medium,medium,53,34,53,75,42,63,61,49,67,70,59,63,56,70,47,65,72,55,73,45,71,66,54,58,70,57,63,58,7,8,14,14,16
87348,199575,213684,2015-09-21 00:00:00,71,72,right,medium,medium,14,12,13,34,19,13,13,10,27,19,55,65,70,69,63,25,82,41,45,13,15,20,19,35,12,14,13,12,74,68,67,64,78
87362,212121,401004,2016-05-12 00:00:00,64,76,right,medium,medium,62,52,64,64,57,64,61,58,63,65,74,70,64,64,58,71,38,69,75,61,62,64,51,57,54,61,65,64,15,14,10,13,11
87373,205540,280653,2016-01-28 00:00:00,71,81,right,medium,medium,66,65,35,65,50,77,65,24,56,74,86,86,74,64,80,77,60,69,71,68,50,46,67,54,57,45,55,53,13,15,7,13,13
87394,186117,149917,2016-01-07 00:00:00,71,74,right,medium,medium,71,67,67,72,44,74,77,75,69,73,73,77,65,73,68,78,70,78,71,75,74,65,70,68,72,64,69,63,11,13,13,11,8
87419,183564,109639,2016-01-07 00:00:00,67,67,right,medium,medium,78,51,63,66,69,59,73,74,66,68,41,43,58,67,66,79,56,72,76,66,76,63,56,66,70,66,70,69,9,8,8,7,10
87441,199422,209384,2016-01-14 00:00:00,77,80,right,medium,high,70,26,27,84,73,71,80,70,79,81,68,65,75,79,90,77,56,76,69,71,86,81,65,84,64,64,73,61,11,11,14,10,7
87468,208681,310505,2014-07-18 00:00:00,61,71,right,medium,medium,60,43,31,56,51,68,53,45,53,66,78,76,77,56,82,53,72,51,37,56,32,36,48,51,44,35,37,39,14,13,10,8,13
87477,192359,167059,2014-12-19 00:00:00,62,63,right,medium,medium,25,25,25,25,25,25,25,25,28,25,55,46,46,53,31,34,54,44,64,25,23,25,25,25,27,25,25,25,63,59,58,62,67
87484,208598,303929,2015-04-17 00:00:00,62,69,right,medium,medium,62,24,58,63,33,63,34,27,34,61,75,68,70,49,80,46,73,70,55,28,64,59,31,32,41,62,65,64,15,12,6,9,14
87489,221898,520426,2015-02-13 00:00:00,59,68,left,medium,medium,55,27,52,56,39,58,59,41,53,59,70,64,63,53,65,58,62,55,60,41,66,55,37,49,44,60,63,64,11,14,6,11,9
87494,202160,189977,2016-01-28 00:00:00,63,67,right,medium,medium,52,52,49,66,48,64,41,51,56,67,69,66,65,64,72,62,64,68,70,57,62,62,53,67,58,50,63,59,7,13,11,13,7
87508,204163,257847,2016-03-17 00:00:00,77,83,right,medium,high,33,34,78,66,35,57,39,29,56,62,79,79,61,69,57,65,90,70,90,38,81,72,43,40,33,72,80,76,9,15,16,15,15
87532,142147,37187,2010-02-22 00:00:00,61,64,right,,_0,32,23,21,23,,21,,16,66,33,57,59,,60,,22,,65,69,23,21,61,42,,53,23,22,,63,57,66,59,60
87537,157982,11760,2012-02-22 00:00:00,64,64,right,medium,medium,13,11,15,23,14,12,10,11,23,22,31,33,46,71,37,22,73,35,77,12,62,26,12,41,23,12,10,9,64,61,60,63,66
87545,208023,145063,2014-09-18 00:00:00,67,67,right,medium,medium,56,43,44,73,47,66,49,47,65,64,66,66,79,68,75,55,64,75,70,39,78,69,44,61,46,69,53,48,12,11,8,6,10
87551,178691,56952,2016-05-05 00:00:00,73,73,right,medium,medium,75,29,65,73,32,73,68,51,67,75,71,74,71,67,66,62,70,76,69,44,79,74,68,57,45,73,76,75,15,11,11,11,7
87584,193467,183321,2015-10-16 00:00:00,69,69,left,high,medium,63,14,69,62,17,54,34,57,66,60,52,61,51,58,51,73,57,76,78,21,77,67,34,47,74,69,76,67,14,13,10,12,11
87603,146462,74739,2015-10-16 00:00:00,66,66,left,medium,medium,42,34,75,50,29,33,37,49,45,44,33,54,48,62,56,60,54,50,71,36,70,72,38,47,56,69,64,61,6,12,14,14,7
87622,182646,97508,2012-02-22 00:00:00,70,72,right,medium,medium,68,58,50,68,59,70,49,56,62,70,73,78,78,80,72,68,54,70,76,60,75,26,71,60,69,21,25,22,10,9,12,8,10
87630,220184,730065,2016-02-04 00:00:00,57,69,right,high,medium,41,56,33,42,51,64,40,31,34,64,79,76,69,48,69,53,62,64,58,50,34,13,55,60,59,14,24,20,11,15,7,10,16
87632,221749,522116,2014-11-14 00:00:00,61,66,right,medium,medium,31,61,64,59,39,61,36,30,55,62,75,75,69,52,75,60,67,60,64,51,29,25,69,44,70,20,25,20,7,14,12,15,7
87640,10540,38403,2013-05-31 00:00:00,66,66,right,medium,low,73,66,50,73,65,70,77,78,72,72,49,47,59,64,60,68,32,45,62,72,62,43,65,72,72,44,53,39,12,11,15,13,13
87652,142627,96534,2014-07-18 00:00:00,66,66,right,medium,medium,60,62,74,70,76,78,72,60,60,76,54,68,62,65,80,76,92,44,75,56,44,35,69,65,72,25,26,26,7,15,8,12,5
87669,223033,580589,2016-04-21 00:00:00,72,84,right,medium,low,30,22,72,67,33,37,34,33,52,65,75,71,71,64,76,48,78,67,68,27,68,73,25,34,51,78,73,74,15,12,11,8,8
87677,154472,2983,2015-10-16 00:00:00,75,75,right,medium,medium,49,76,82,64,76,61,55,59,53,74,43,52,49,76,33,83,64,67,91,72,76,41,84,58,78,30,32,19,6,14,8,13,14
